urn:cts:perslit:ferdousi.shahname:jamid	ferdousi		shahname	"
جمشید"		
urn:cts:perslit:jami.7ourang:7-5-yusof-zoleykha.18	jami		7ourang	"
بخش ۱۸ - عمر گذراندن زلیخا در مفارقت یوسف"		چو دل با دلبری آرام گیرد%ز وصل دیگری کی کام گیرد؟||زلیخا را در آن فرخنده‌منزل%همه اسباب حشمت بود حاصل||غلامی بود پیش رو، عزیزش%نبود از مال و زر کم، هیچ چیزش||پرستاران گل‌بوی گل‌اندام%پرستاری‌ش را بی‌صبر و آرام||کنیزان دل آشوب دل آرای%پی خدمتگری ننشسته از پای||سیه فامانی از عنبر سرشته%ز شهوت پاک‌دامن، چون فرشته||مقیمان حریم پاکبازی%امینان حرم در کارسازی||زلیخا با همه در صفهٔ بار%که یک‌سان باشد آنجا یار و اغیار||بساط خرمی افکنده بودی%درون پرخون و لب پرخنده بودی||به ظاهر با همه گفت و شنو داشت%ولی دل جای دیگر در گرو داشت||به صورت بود با مردم نشسته%به معنی از همه خاطر گسسته||ز وقت صبح تا شام کارش این بود%میان دوستان کردارش این بود||چو شب بر چهره مشکین پرده بستی،%چو مه در پرده‌اش تنها نشستی||خیال دوست را در خلوت راز%نشاندی تا سحر بر مسند ناز||به زانوی ادب بنشستی‌اش پیش%به عرض او رسانیدی غم خویش||ز ناله چنگ محنت ساز کردی%سرود بی‌خودی آغاز کردی||بدو گفتی که: «ای مقصود جانم!%به مصر از خویشتن دادی نشان‌ام||عزیز مصر گفتی خویش را نام%عزیزی روزیت بادا! سرانجام!||به مصر امروز مهجور و غریب‌ام%ز اقبال وصالت بی‌نصیب‌ام||به نومیدی کشید از عشق کارم%سروش غیب کرد امیدوارم||بدان امیدم اکنون زنده مانده%ز دامن گرد نومیدی فشانده||به نوری کز جمالت بر دلم تافت%یقین دانم که آخر خواهم‌ات یافت||ز شوقت گرچه خونبارست چشمم%به سوی شش جهت چارست چشمم||تویی از هر دو عالم آرزویم%تو را چون یافتم، از خود چه جویم؟»||سحر کردی بدین گفتار شب را%نبستی زین سخن تا روز لب را||چو باد صبح جستن کردی آغاز%بر آیین دگر دادی سخن ساز||چه گفتی؟ گفتی: «ای باد سحرخیز!%شمیم مشک در جیب سمن‌بیز،||به معشوقان بری پیغام عاشق%بدین جنبش دهی آرام عاشق||ز دلداران «نوازش نامه» آری%کنی غم‌دیدگان را غم‌گساری||کس از من در جهان غم‌دیده‌تر نیست%ز داغ هجر ماتم‌دیده‌تر نیست||دلم بیمار شد دلداری‌ام کن!%غمم بسیار شد غمخواری‌ام کن!||به هر شهری خبر پرس از مه من!%به هر تختی نشان جو از شه من!||گذار افکن به هر باغ و بهاری!%قدم نه بر لب هر جویباری!||بود بر طرف جویی زین تک و پوی%به چشم آید تو را آن سرو دلجوی»||ز وقت صبح، تا خورشید تابان%به جولانگاه روز آمد شتابان||دلی پردرد، چشمی خون‌فشان داشت%به باد صبحدم این داستان داشت||چو شد خورشید، شمع مجلس روز%زلیخا همچو حور مجلس‌افروز||پرستاران به پیشش صف کشیدند%رفیقان با جمالش آرمیدند||به آن صافی‌دلان پاک‌سینه%به جای آورد رسم و راه دینه||به هر روز و شبی این بود حالش%بدین آیین گذشتی ماه و سالش||به سر می‌برد از این سان روزگاری%به ره می‌داشت چشم‌انتظاری||بیا جامی! که همت برگماریم%ز کنعان ماه کنعان را بیاریم||زلیخا با دلی امیدوارست%نظر بر شاهراه انتظارست||ز حد بگذشت درد انتظارش%دوابخشی کنیم از وصل یارش
urn:cts:perslit:jami.7ourang:7-5-yusof-zoleykha.19	jami		7ourang	"
بخش ۱۹ - آغاز حسدبردن برادران بر یوسف"		دبیر خامه ز استاد کهن زاد%درین نامه چنین داد سخن داد||که یوسف چون به خوبی سر برافروخت%دل یعقوب را مشعوف خود ساخت||به سان مردم‌اش در دیده بنشست%ز فرزندان دیگر دیده بربست||گرفتی با وی آن‌سان لطف‌ها پیش%که بر وی رشکشان هر دم شدی بیش||درختی بود در صحن سرای‌اش%به سبزی و خوشی بهجت‌فزای‌اش||ستاده در مقام استقامت%فکنده بر زمین ظل کرامت||پی تسبیح، هر برگش زبانی%بنامیزد! عجب تسبیح خوانی!||به هر فرزند که‌ش دادی خداوند%از آن خرم درخت سدره مانند||همان‌دم تازه شاخی بردمیدی%که با قدش برابر سرکشیدی||چو در راه بلاغت پا نهادی%به دستش ز آن عصای سبز دادی||بجز یوسف که از تایید بخت‌اش%عصا لایق نیامد ز آن درخت‌اش||شبی پنهان ز اخوان با پدر گفت%که: «ای بازوی سعی‌ات با ظفر جفت!||دعا کن! تا کفیل کار و کشت‌ام%برویاند عصایی از بهشت‌ام||که از عهد جوانی تا به پیری%کند هر جا که افتم دستگیری||دهد در جلوه‌گاه جنگ و بازی%مرا بر هر برادر سرفرازی»||پدر روی تضرع در خدا کرد%برای خاطر یوسف دعا کرد||رسید از سدره پیک ملک سرمد%عصایی سبز در دست از زبرجد||نه زخم تیشهٔ ایام دیده%نه رنج ارهٔ دوران کشیده||قوی‌قوت، گران‌قیمت، سبک‌سنگ%نیالوده به زنگ روغن و رنگ||پیام آورد کاین فضل الهی‌ست%ستون بارگاه پادشاهی‌ست||چو شد یوسف از آن تحفه، قوی‌دست%ز حسرت حاسدان را پشت بشکست||به خود بستند ز آن هر یک خیالی%نشاندند از حسد در دل نهالی
urn:cts:perslit:jami.7ourang:7-5-yusof-zoleykha.1	jami		7ourang	"
بخش ۱ - آغاز سخن"		الهی غنچهٔ امید بگشای!%گلی از روضهٔ جاوید بنمای||بخندان از لب آن غنچه باغم!%وزین گل عطرپرور کن دماغم!||درین محنت‌سرای بی مواسا%به نعمت‌های خویش‌ام کن شناسا!||ضمیرم را سپاس اندیشه گردان!%زبانم را ستایش‌پیشه گردان!||ز تقویم خرد بهروزی‌ام بخش!%بر اقلیم سخن فیروزی‌ام بخش!||دلی دادی ز گوهر گنج بر گنج%ز گنج دل زبان را کن گهر سنج!||گشادی نافهٔ طبع مرا ناف%معطر کن ز مشکم قاف تا قاف!||ز شعرم خامه را شکرزبان کن!%ز عطرم نامه را عنبرفشان کن!||سخن را خود سرانجامی نمانده‌ست%وز آن نامه بجز نامی نمانده‌ست||درین خم‌خانهٔ شیرین‌فسانه%نمی‌یابم نوایی ز آن ترانه||حریفان باده‌ها خوردند و رفتند%تهی‌خم‌ها رها کردند و رفتند||نبینم پختهٔ این بزم، خامی%که باشد بر کف‌اش ز آن باده، جامی||بیا ساقی رها کن شرمساری!%ز صاف و درد پیش آر آنچه داری!
urn:cts:perslit:jami.7ourang:7-5-yusof-zoleykha.20	jami		7ourang	"
بخش ۲۰ - خواب دیدن یوسف که آفتاب و ماه و یازده ستاره او را سجده می‌برند"		شبی یوسف به پیش چشم یعقوب%که پیش او چو چشمش بود محبوب||به خواب خوش نهاده سر به بالین%به خنده نوش نوشین کرد شیرین||ز شیرین خنده آن لعل شکرخند%به دل یعقوب را شوری در افکند||چو یوسف نرگس سیراب بگشاد%چو بخت خویش چشم از خواب بگشاد،||بدو گفت:«ای شکر شرمندهٔ تو!%چه موجب داشت شکر خندهٔ تو؟»||بگفتا: «خواب دیدم مهر و مه را%ز رخشنده کواکب یازده را||که یک‌سر داد تعظیمم بدادند%به سجده پیش رویم سر نهادند»||پدر گفتا که: «بس کن زین سخن، بس!%مگوی این خواب را زنهار! با کس!||مباد این خواب را اخوان بدانند،%به بیداری صد آزارت رسانند!||ز تو در دل هزاران غصه دارند%درین قصه کی‌ات فارغ گذارند||نیارند از حسد این خواب را تاب%که بس روشن بود تعبیر این خواب»||پدر کرد این وصیت، لیک تقدیر%به بادی بگسلد زنجیر تدبیر||به یک تن گفت یوسف آن فسانه%نهاد آن را به اخوان در میانه||شنیده‌ستی که هر سر کز دو بگذشت%به اندک وقت ورد هر زبان گشت||چه خوش گفت آن نکوگوی نکوکار%که: «سر خواهی سلامت، سر نگه‌دار!»||چو اخوان قصهٔ یوسف شنیدند%ز غصه پیرهن بر خود دریدند||که: «یارب چیست در خاطر پدر را%که نشناسد ز نفع خود ضرر را؟||به هر یک‌چند بربافد دروغی%دهد ز آن گوهر خود را فروغی||خورد آن پیر مسکین زو فریبی%شود از صحبت او ناشکیبی||کند قطع نکو پیوندی ما%برد مهر پدر فرزندی ما||پدر را ما خریداریم، نی او%پدر را ما هواداریم، نی او||اگر روزست، در صحرا شبانیم%وگر شب، خانه‌اش را پاسبانیم||بجز حیلت‌گری از وی چه دیده‌ست%که‌ش این سان بر سر ما برگزیده‌ست||چو با ما بر سر غمخوارگی نیست%دوای او بجز آوارگی نیست»||به قصد چاره‌سازی عهد بستند%به عزم مشورت یک جا نشستند||یکی گفت:«او ز حسرت خون ما ریخت%به خون‌ریزی‌ش باید حیله انگیخت»||یکی گفت: «این به بیدینی‌ست راهی%که اندیشیم قتل بیگناهی||همان به که افکنیم‌اش از پدر دور%به هایل وادی‌ای محروم و مهجور||چو یک چند اندر آن آرام گیرد%به مرگ خویشتن بی‌شک بمیرد»||دگر یک گفت:« قتل دیگرست این!%چه جای قتل؟ از آن هم بدترست این!||صواب آنست کاندر دور و نزدیک%طلب داریم چاهی غور و تاریک||ز صدر عزت و جاه افکنیم‌اش%به صد خواری در آن چاه افکنیم‌اش||بود کآنجا نشیند کاروانی%برآساید در آن منزل زمانی||به چاه اندر کسی دلوی گذارد%به جای آب از آن چاهش برآرد||به فرزندی‌ش گیرد یا غلامی%کند در بردن وی تیزگامی»||ز غور چاه مکر خود نه آگاه%همه بی‌ریسمان رفتند در چاه||وز آن پس رو به کار خود نهادند%به فردا وعدهٔ آن کار دادند
urn:cts:perslit:jami.7ourang:7-5-yusof-zoleykha.21	jami		7ourang	"
بخش ۲۱ - درخواست برادران یوسف از پدر که وی را با خود به صحرا برند"		حسدورزان یوسف بامدادان%به فکر دینه خرم‌طبع و شادان||زبان پر مهر و سینه کینه‌اندیش%چو گرگان نهان در صورت میش||به دیدار پدر احرام بستند%به زانوی ادب پیشش نشستند||در زرق و تملق باز کردند%ز هر جایی سخن آغاز کردند||که: «از خانه ملالت خاست ما را%هوای رفتن صحراست ما را||اگر باشد اجازت، قصد داریم%که فردا روز در صحرا گذاریم||برادر، یوسف، آن نور دو دیده%ز کم‌سالی به صحرا کم رسیده||چه باشد که‌ش به ما همراه سازی%به همراهی‌ش ما را سرفرازی؟»||چو یعقوب این سخن بشنید از ایشان%گریبان رضا پیچید از ایشان||بگفتا: «بردن او کی پسندم؟%کز آن گردد درون اندوه‌مندم||از آن ترسم کزو غافل نشینید%ز غفلت صورت حالش نبینید||درین دیرینه‌دشت محنت‌انگیز%کهن گرگی بر او دندان کند تیز»||چو آن افسونگران آن را شنیدند%فسون دیگر از نو دردمیدند||که: «آخر ما نه ز آن‌سان سست راییم،%که هر ده تن به گرگی بس نیاییم»||چو ز ایشان کرد یعقوب این سخن گوش%ز عذر انگیختن گردید خاموش||به صحرا بردن یوسف رضا داد%بلا را در دیار خود صلا داد
urn:cts:perslit:jami.7ourang:7-5-yusof-zoleykha.22	jami		7ourang	"
بخش ۲۲ - به صحرا بردن برادران یوسف را و به جاه افگندنش"		چو پا بر دامن صحرا نهادند%بر او دست جفاکاری گشادند||ز دوش مرحمت، بارش فکندند%میان خاره و خارش فکندند||بدین‌سان بود حالش تا سه فرسنگ%از او صلح و از آن سنگین‌دلان جنگ||ازو نرمی وز ایشان سخت‌رویی%ازو گرمی وز ایشان سردگویی||ز ناگه بر لب چاهی رسیدند%ز رفتن، بر لب چاه آرمیدند||چهی چون گور ظالم تنگ و تیره%ز تاریکی‌ش چشم عقل خیره||مدار نقطهٔ اندوه دورش%برون از طاقت اندیشه، غورش||دگر بار از جفاشان داد برداشت%به نوعی ناله و فریاد برداشت||ولی آن ساز تیز آهنگ‌تر شد%دل چون سنگ ایشان سنگ‌تر شد||چه گویم کز جفا ایشان چه کردند%دلم ندهد که گویم آنچه کردند||کشیدند از بدن پیراهن او%چو گل از غنچه، عریان شد تن او||فروآویختند آنگه به چاهش%در آب انداختند از نیمه‌راهش||برون از آب، در چه بود سنگی%نشیمن ساخت آن را بی‌درنگی||شد از نور رخش آن چاه روشن%چو شب روی زمین از ماه روشن||شمیم گیسوان عطرسایش%عفونت را برون برد از هوایش||ز فر طلعت او هر گزنده%سوی سوراخ دیگر شد خزنده||به تعویذ اندرش پیراهنی بود%که جدش را ز آتش مامنی بود||فرستادش به ابراهیم، رضوان%از آن رو شد بر او آتش گلستان||رسید از سدره جبریل امین زود%ز بازوی وی آن تعویذ بگشود||برون آورد از آنجا پیرهن را%بدان پوشید آن پاکیزه تن را||از آن پس گفت: «ای مهجور غمناک!%پیامت می‌رساند ایزد پاک||که روزی این خیانت‌پیشگان را%گروه ناصواب‌اندیشگان را||ز تو دل‌ریش‌تر پیشت رسانم%فکنده پیش‌سر ، پیشت رسانم،||ز جبریل این سخن یوسف چو بشنود%ز رنج و محنت اخوان برآسود||به تسکین دادن جان حزینش%ندیم خاص شد روح‌الامین‌اش
urn:cts:perslit:jami.7ourang:7-5-yusof-zoleykha.23	jami		7ourang	"
بخش ۲۳ - بیرون آوردن کاروانیان یوسف را از چاه و بردن به مصر"		سه روز آن ماه در چه بود تا شب%چو ماه نخشب اندر چاه نخشب||چو چارم روز ازین فیروزه‌خرگاه%برآمد یوسف شب رفته در چاه||ز مدین کاروانی رخت‌بسته%به عزم مصر با بخت خجسته||ز راه افتاده دور، آنجا فتادند%پی آسودگی محمل گشادند||به گرد چاه منزلگاه کردند%به قصد آب، رو در چاه کردند||نخست آمد سعادتمند مردی%به سوی آب حیوان رهنوردی||به تاریکی چاه آن خضر سیما%فرو آویخت دلو آب پیما||به یوسف گفت جبریل امین، خیز!%زلال رحمتی بر تشنگان ریز!||ز رویت پرتوی بر عالم افکن!%جهان را از سر نو ساز روشن!||روان، یوسف ز روی سنگ برجست%چو آب چشمه و در دلو بنشست||کشید آن دلو را مرد توانا%به قدر دلو و وزن آب، دانا||بگفت امروز دلو ما گران است%یقین چیزی بجز آب اندر آنست||چو آن ماه جهان‌آرا برآمد%ز جانش بانگ «یا بشری» برآمد||«بشارت! کز چنین تاریک چاهی%برآمد بس جهان‌افروز ماهی»||در آن صحرا گلی بشکفت او را%ولی از دیگران بنهفت او را||نهانی جانب منزلگه‌اش برد%به یاران خودش پوشیده بسپرد||بلی چون نیک‌بختی گنج یابد%اگر پنهان ندارد رنج یابد||حسودان هم در آن نزدیک بودند%ز حال او تفحص می‌نمودند||همی بردند دایم انتظارش%که تا خود چون شود انجام کارش||ز حال کاروان آگاه گشتند%خبرجویان به گرد چاه گشتند||نهان، کردند یوسف را ندایی%برون نامد ز چاه الا صدایی||به سوی کاروان کردند آهنگ%که تا آرند یوسف را فراچنگ||پس از جهد تمام و جد بسیار%میان کاروان آمد پدیدار||گرفتندش که: «ما را بنده است این%سر از طوق وفا تابنده است این||به کار خدمت آمد سست‌پیوند%ره بگریختن گیرد به هر چند||در اصلاح‌اش ازین پس می‌نکوشیم%به هر قیمت که باشد می‌فروشیم»||جوانمردی که از چه برکشیدش%به اندک قیمتی ز ایشان خریدش||به مالک بود مشهور آن جوانمرد%به فلسی چند مملوک خودش کرد||وز آن پس کاروان محمل ببستند%به قصد مصر در محمل نشستند||چو مالک را برون از دست‌رنجی%فروشد پا از آن سودا به گنجی||به بویش جان همی پرورد و می‌رفت%دو منزل را یکی می‌کرد و می‌رفت||به مصر آمد چو نزدیک از ره دور%میان مصریان شد قصه مشهور||که: آمد مالک اینک از سفر باز%به عبرانی غلامی گشته دمساز||بر اوج نیکویی تابنده‌ماهی%به ملک دلبری فرخنده‌شاهی||عزیز آنگه ز مالک شد طلبکار%که‌ش آرد تا در شاه جهاندار||بگفتا: «ز آمدن فکری نداریم%ولی از لطف تو امیدواریم،||که ما را این زمان معذور داری%به آسایش درین منزل گذاری||بود روزی سه چار آسوده گردیم%که از رنج سفر بی‌خواب و خوردیم||غبار از روی و چرک از تن بشوییم%تن پاکیزه سوی شاه پوییم»||عزیز مصر چون این نکته بشنید%به خدمتگاری شه بازگردید||به شاه از حسن یوسف شمه‌ای گفت%به غیرت ساخت جان شاه را جفت||اشارت کرد کز خوبان هزاران%به دارالملک خوبی شهریاران||همه زرین کله بنهاده بر سر%همه زرکش قبا پوشیده در بر،||چو گل از گلشن خوبی بچینند%ز گلرویان مصری برگزینند||که چون آرند یوسف را به بازار%کنندش عرض بر چشم خریدار،||کشند اینان بدین شکل و شمایل%به دعوی داری‌اش صف در مقابل||شود گر خود بود مهر جهان‌گرد%ازین آتش‌رخان بازار او سرد||به چارم روز موعد، یوسف خور%چو زد از ساحل نیل فلک سر||به حکم مالک، آن خورشید تابان%به سوی نیل حالی شد شتابان||قبای نیلگون بسته به تعجیل%چو سیمین سروی آمد بر لب نیل||به جای نیل، من بودی ، چه بودی؟%ز پابوسش من آسودی، چه بودی؟||چو گرد از روی و چرک از تن فروشست%چو سروی از کنار نیل بررست||ز مفرش دار مالک پیرهن خواست%به جلباب سمن، گل را بیاراست||کشید آنگه به بر دیبای زرکش%به چندین نقش‌های خوش منقش||فرو آویخت زلفین دلاویز%هوای مصر راز آن شد عنبرآمیز||بدان خوبی‌ش در هودج نشاندند%به قصد قصر شه مرکب براندند||نمود از قصر بیرون تختگاهی%که شاه آنجا کشیدی رخت، گاهی||به پیشش خیل خوبان صف کشیده%پی دیدار یوسف آرمیده||قضا را بود ابری تیره آن روز%گرفته آفتاب عالم‌افروز||چو یوسف برج هودج را بپرداخت%چو خور بر چشم مردم پرتو انداخت||گمان ناظران را، کآفتاب است!%که طالع گشته از نیلی سحاب است||ز حیرت کف‌زنان اهل نظاره%فغان برداشتند از هر کناره||بتان مصر سردرپیش ماندند%ز لوحش حرف نسخ خویش خواندند||بلی، هر جا شود مهر آشکارا،%سها را جز نهان بودن چه یارا؟
urn:cts:perslit:jami.7ourang:7-5-yusof-zoleykha.24	jami		7ourang	"
بخش ۲۴ - دیدن زلیخا، یوسف را"		زلیخا بود ازین صورت، تهی‌دل%کز او تا یوسف آمد یک دو منزل||به صحرا شد برون تا ز آن بهانه%ز دل بیرون دهد اندوه خانه||گرفت اسباب عیش و خرمی پیش%ولی هر لحظه شد اندوه او بیش||چو در صحرا به خرمن سیل‌اش افتاد%دگرباره به خانه میل‌اش افتاد||اگر چه روی در منزلگه‌اش بود،%گذر بر ساحت قصر شه‌اش بود||چو دید آن انجمن گفت: «این چه غوغاست؟%که گویی رستخیز از مصر برخاست!»||یکی گفت:«این پی فرخنده نامی است%بساط عرض عبرانی غلامی است||زلیخا دامن هودج برانداخت%چو چشمش بر غلام افتاد بشناخت||برآمد از دلش بی‌خواست فریاد%ز فریادی که زد بی‌خود بیفتاد||روان، هودج کشان هودج براندند%به خلوت‌خانهٔ خاص‌اش رساندند||چو شد منزلگه‌اش آن خلوت راز%ز حال بی‌خودی آمد به خود باز||ازو پرسید دایه کای دل‌افروز!%چرا کردی فغان از جان پرسوز؟||بگف: «ای مهربان مادر، چه گویم؟%که گردد آفت من هر چه گویم||در آن مجمع غلامی را که دیدی%ز اهل مصر و وصف او شنیدی،||ز عالم قبله گاه جان من اوست%فدایش جان من! جانان من اوست||ز خان و مان مرا آواره، او ساخت%درین آوارگی بیچاره، او ساخت»||چو دایه آتش او دید کز چیست%چو شمع از آتش او زار بگریست||بگفت: «ای شمع، سوز خود نهان دار!%غم شب، رنج روز خود نهان دار!||بود کز صبر، امیدت برآید%ز ابر تیره خورشیدت برآید
urn:cts:perslit:jami.7ourang:7-5-yusof-zoleykha.25	jami		7ourang	"
بخش ۲۵ - خریدن زلیخا یوسف را به اضعاف، در حراج"		چو یوسف شد به خوبی گرم‌بازار%شدندش مصریان یک‌سر خریدار||به هر چیزی که هر کس دسترس داشت%در آن بازار بیع او هوس داشت||شنیدم کز غمش زالی برآشفت%تنیده ریسمانی چند، می‌گفت:||«همی بس گرچه بس کاسد قماشم%که در سلک خریدارانش باشم!»||منادی بانگ می‌زد از چپ و راست:%«که می‌خواهد غلامی بی‌کم و کاست؟»||یکی شد ز آن میانه، اول کار%به یک بدره زر سرخ‌اش خریدار||از آن بدره که چون خواهی شمارش%بیابی از درستی‌زر هزارش||خریداران دیگر رخش راندند%به منزلگاه صد بدره رساندند||بر آن افزود دولتمند دیگر%به قدر وزن یوسف مشک اذفر||بر آن دانای دیگر کرد افزون%به وزنش لعل ناب و در مکنون||بدین قانون ترقی می‌نمودند%ز انواع نفایس می‌فزودند||زلیخا گشت ازین معنی خبردار%مضاعف ساخت آنها را به یک‌بار||خریداران دیگر لب ببستند%پس زانوی نومیدی نشستند||عزیز مصر را گفت: «این نکورای!%برو بر مالک این قیمت بپیمای!»||بگفتا: «آنچه من دارم دفینه%ز مشک و گوهر و زر در خزینه||به یک نیمه بهایش برنیاید،%ادای آن تمام از من کی آید؟»||زلیخا داشت درجی پر ز گوهر%نه درجی، بلکه برچی پر ز اختر||بهای هر گهر ز آن درج مکنون%خراج مصر بودی، بلکه افزون||بگفتا کاین گهرها در بهایش%بده! ای گوهر جانم فدایش!||عزیز آورد باز ازنو بهانه%که دارد میل او شاه زمانه||بگفتا:«رو سوی شاه جهاندار!%حق خدمتگزاری را به جای آر!||بگو بر دل جز این بندی ندارم%که پیش دیده، فرزندی ندارم||سرافرازی فزا زین احترام‌ام%که آید زیر فرمان، این غلام‌ام!||به برجم اختر تابنده باشد%مرا فرزند و شه را بنده باشد»||چو شاه این نکتهٔ سنجیده بشنید%ز بذل التماسش سر نپیچید||اجازت داد حالی تا خریدش%ز مهر دل به فرزندی گزیدش||به سوی خانه بردش خرم و شاد%زلیخا شد ز بند محنت آزاد||که: بودم خفته‌ای بر بستر مرگ%خلیده در رگ جان نشتر مرگ||درآمد ناگهان خضر از در من%به آب زندگی شد یاور من||بحمد الله که دولت یاری‌ام کرد%زمانه ترک جان آزاری‌ام کرد||جمادی چند دادم جان خریدم%بنامیزد! عجب ارزان خریدم
urn:cts:perslit:jami.7ourang:7-5-yusof-zoleykha.26	jami		7ourang	"
بخش ۲۶ - خدمتگاری نمودن زلیخا، یوسف را"		چو دولت‌گیر شد دام زلیخا%فلک زد سکه بر نام زلیخا||نظر از آرزوهای جهان بست%به خدمتکاری یوسف میان بست||مذهب تاج‌ها، زرین کمرها%مرصع هر یک از رخشان گهرها||چو روز سال، هر یک سیصد و شصت%مهیا کرد و فارغ بال بنشست||به هر روزی که صبح نو دمیدی%به دوشش خلعتی از نو کشیدی||رخ آن آفتاب دلفریبان%نشد طالع دو روز از یک گریبان||چو تاج زر به فرقش برنهادی%هزاران بوسه‌اش بر فرق دادی||چو پیراهن کشیدی بر تن او%شدی همراز با پیراهن او||مسلسل گیسویش چون شانه کردی%مداوای دل دیوانه کردی||شبانگه که‌ش خیال خواب بودی%ز روز و رنج او بی‌تاب بودی،||بیفگندی فراش دلپذیرش%نهادی مهد دیبا و حریرش||فسون خواندی بسی و افسانه گفتی%غبار خاطرش ز افسانه رفتی||چو بستی نرگسش را پردهٔ خواب%شدی با شمع، همدم در تب و تاب||دو مست آهوی خود را تا سحرگاه%چرانیدی به باغ حسن آن ماه||گهی با نرگسش همراز گشتی%گهی با غنچه‌اش دمساز گشتی||گهی از لاله‌زارش لاله چیدی%گهی از گلستانش گل چریدی||بدین افسوس پشت دست خایان%رساندی شب چو گیسویش به پایان||به روزان و شبان این بود کارش%نبود از کار او یک دم قرارش||غمش خوردی و غمخواری‌ش کردی%به خاتونی پرستاری‌ش کردی||بلی عاشق همیشه جان فروشد%به جان در خدمت معشوق کوشد||به مژگان از ره او خار چیند%به چشم از پای او آزار چیند||به جسم و جان نشیند حاضر او%بود کافتد قبول خاطر او
urn:cts:perslit:jami.7ourang:7-5-yusof-zoleykha.27	jami		7ourang	"
بخش ۲۷ - شرح دادن یوسف قصهٔ محنت راه و زحمت چاه را برای زلیخا"		سخن‌پرداز این شیرین‌فسانه%چنین آرد فسانه در میانه||که پیش از وصل یوسف بود روزی%زلیخا را عجب دردی و سوزی||ز دل صبر و ز تن آرام رفته%شکیب از جان غم فرجام رفته||نه در خانه به کاری بند گشتی%نه در بیرون به کس خرسند گشتی||مژه پر آب و دل پرخون همی رفت%درون می‌آمد و بیرون همی رفت||بدو گفت آن بلنداقبال دایه%که: «ای مه پایهٔ خورشید سایه||نمی‌دانم که امروزت چه حال است%که جانت غرق دریای ملال است||بگو کین بیقراری از که داری؟%ز نو رنجی که داری از که داری؟»||بگفتا: «من ز خود حیرانم امروز%به کار خویش سرگردانم امروز||غمی دارم، ندانم کین غم از چیست%ز جانم سر زده این ماتم از کیست»||چو یوسف همنشین شد با زلیخا%شبا روزی قرین شد با زلیخا||شبی پیش زلیخا راز می‌گفت%غم و اندوه پیشین باز می‌گفت||زلیخا چون حدیث چاه بشنید%بسان ریسمان بر خویش پیچید||فتاد اندر دلش کن روز بوده‌ست%که جانش در غم جانسوز بوده‌ست||حساب روز و مه چون نیک برداشت%به پیش او یقین شد آنچه پنداشت||بلی داند دلی کگاه باشد%که از دل‌ها به دل‌ها راه باشد||شنیده‌ستم که روز کرد لیلی%به قصد فصد سوی نیش میلی||چو زد لیلی یکی نیش از پی خون%به وادی رفت خون از دست مجنون||بیا جامی ز بود خود بپرهیز!%ز پندار وجود خود بپرهیز!||مصفا شو ز مهر و کینهٔ خویش!%مصیقل کن رخ آیینهٔ خویش!||شود چشم دلت روشن بدان نور%نماند سر جانان بر تو مستور
urn:cts:perslit:jami.7ourang:7-5-yusof-zoleykha.28	jami		7ourang	"
بخش ۲۸ - تمنا کردن یوسف شبانی را"		به حکم آنکه امت‌پروری را%شبان لایق بود پیغمبری را||ز یوسف با هزاران کامرانی%همی زد سر تمنای شبانی||زلیخا آن تمنا را چو دریافت%به تحصیل تمنایش عنان تافت||نخستین خواست ز استادان آن فن%که کردند از برایش یک فلاخن||رسن همچون خور از زر تافتندش%چو گیسوی معنبر بافتندش||زلیخا نیز می‌پخت آرزویی%که: گنجانم در او خود را چو مویی||چو نتوان بی‌سبب خود را در او بست%ببوسم گاه گاه‌اش ز آن سبب دست||دگر می‌گفت: این را چون پسندم%که یک مو بار خود بر وی ببندم؟||وز آن پس داد فرمان تا شبانان%رمه در کوه و در صحراچرانان||جدا سازند نادر بره‌ای چند%چو گردون چر بره، بی‌مثل و مانند||چو آهوی ختن سنبل‌چریده%ز گرگان هرگز آسیبی ندیده||زره‌سان پشمشان چون موی زنگی%ز ابریشم فزون در تازه‌رنگی||میان آن رمه یوسف شتابان%چو در برج حمل، خورشید تابان||زلیخا صبر و هوش و عقل و جان را%سگ دنباله‌کش کرده، شبان را||نگهبانان موکل ساخت چندی%که دارندش نگاه از هر گزندی||بدین‌سان بود تا می‌خواست کارش%نبود از دست بیرون اختیارش||اگر می‌خواست در صحرا شبان بود%وگر می‌خواست شاه ملک جان بود||ولی در ذات خود بود آن پری‌زاد%ز شاهی و شبانی هر دو آزاد
